ID,일자,코드 공유 수,댓글 수,조회 수,공유 수,다운로드 수,좋아요 수
ID_000,2019-12-09,6,0,34237,11,0,50
ID_000,2020-04-21,10,0,34568,11,0,50
ID_000,2020-07-16,11,0,42386,12,10,62
ID_000,2020-10-13,13,0,42394,12,10,62
ID_000,2021-09-10,14,1,42395,12,10,62
ID_001,2019-12-09,4,4,17193,4,5,24
ID_002,2020-02-05,1,0,1,0,0,0
ID_002,2020-02-07,4,5,22453,16,2,34
ID_003,2019-12-09,3,1,23478,2,0,29
ID_003,2020-02-02,4,1,23479,2,0,29
ID_003,2020-02-19,5,1,29287,2,0,39
ID_003,2020-02-25,6,1,29288,2,0,39
ID_003,2020-04-14,7,2,41486,8,33,52
ID_003,2020-05-12,9,2,41507,8,33,52
ID_003,2020-06-16,10,2,41572,8,33,53
ID_003,2020-06-18,11,2,41588,8,33,53
ID_003,2020-07-13,15,7,64933,10,57,101
ID_003,2020-07-14,18,9,82281,10,68,137
ID_003,2020-10-26,19,9,87447,10,74,146
ID_003,2021-05-20,20,10,91944,10,74,147
ID_004,2019-12-09,3,6,30663,7,1,32
ID_004,2019-12-23,4,7,30664,7,1,32
ID_004,2020-01-08,5,7,30665,7,1,32
ID_004,2020-01-21,6,7,30666,7,1,32
ID_004,2020-02-06,7,7,44991,7,25,45
ID_005,2020-01-08,1,0,1,0,0,0
ID_005,2020-01-13,6,0,4,0,0,0
ID_005,2020-01-14,8,4,12615,5,0,19
ID_005,2020-01-16,9,4,12641,5,0,19
ID_005,2020-01-27,20,9,64429,5,0,97
ID_005,2020-03-05,22,12,77374,6,0,122
ID_005,2020-07-20,24,16,89795,6,12,149
ID_005,2020-07-21,25,17,95893,9,27,162
ID_006,2020-01-27,3,3,21776,6,0,27
ID_006,2020-07-11,4,3,28243,8,26,37
ID_008,2019-12-13,2,4,10,0,0,0
ID_008,2020-01-13,4,4,13,0,0,0
ID_008,2020-02-03,5,4,8864,3,3,8
ID_008,2020-02-09,6,6,8916,3,3,8
ID_008,2020-02-11,8,18,18616,9,3,19
ID_008,2020-02-13,9,18,23077,9,3,26
ID_007,2019-12-15,5,5,10,0,0,0
ID_007,2020-01-29,6,14,7976,1,0,11
ID_007,2020-01-31,8,40,25824,6,0,34
ID_007,2020-02-13,9,40,30161,6,0,39
ID_007,2020-04-13,10,40,30315,6,0,39
ID_007,2020-05-26,11,40,30316,6,0,39
ID_007,2021-05-14,12,40,30317,6,0,39
ID_010,2020-01-14,1,0,61,0,0,0
ID_010,2020-01-15,2,5,82,0,0,0
ID_010,2020-01-17,10,17,6140,2,0,9
ID_010,2020-01-20,24,22,12511,5,0,18
ID_010,2020-01-23,27,22,19779,8,0,26
ID_010,2020-02-05,28,24,26352,8,0,36
ID_010,2020-02-13,29,24,30810,8,0,44
ID_010,2020-03-04,30,24,30811,8,0,44
ID_010,2020-03-17,36,24,57423,12,0,116
ID_010,2020-03-18,38,26,57784,12,0,121
ID_010,2020-05-12,39,26,57785,12,0,121
ID_010,2020-07-14,42,32,78209,13,5,174
ID_010,2020-11-10,43,34,83648,13,5,187
ID_010,2020-11-19,44,36,89028,13,5,199
ID_010,2020-11-24,47,37,109385,15,6,232
ID_010,2021-05-16,49,39,113417,16,6,237
ID_009,2020-01-08,1,0,9058,2,0,11
ID_009,2020-01-15,3,0,9060,2,0,11
ID_009,2020-01-17,7,0,9062,2,0,11
ID_009,2020-01-22,13,5,154668,35,2,64
ID_009,2020-01-27,14,9,160284,35,2,74
ID_009,2020-01-28,15,19,165747,35,2,83
ID_009,2020-02-03,16,24,173145,36,2,94
ID_009,2020-02-04,18,52,191981,39,2,126
ID_009,2020-02-13,19,52,195616,39,2,133
ID_009,2020-06-21,20,54,202177,42,3,147
ID_009,2020-06-22,21,55,209891,46,7,161
ID_009,2020-06-24,22,57,216077,52,14,175
ID_009,2020-06-29,25,62,233999,66,20,231
ID_009,2020-07-16,26,67,240503,67,22,246
ID_011,2020-02-01,1,0,2,0,0,0
ID_011,2020-02-03,3,6,12352,0,0,25
ID_011,2020-02-12,4,9,18872,0,0,39
ID_011,2020-02-13,8,9,24946,0,0,45
ID_011,2020-02-14,9,11,31815,2,0,59
ID_011,2020-02-16,10,16,38774,2,0,72
ID_011,2020-02-22,12,16,45394,2,0,83
ID_011,2020-03-01,15,66,72993,14,0,136
ID_011,2020-03-02,16,68,79404,14,0,154
ID_011,2020-03-03,17,68,79633,14,0,154
ID_011,2020-03-05,18,72,85300,14,0,166
ID_011,2020-03-08,21,78,92229,14,0,181
ID_011,2020-03-12,23,78,92402,14,0,181
ID_011,2020-03-13,24,78,92455,14,0,182
ID_011,2020-03-18,25,78,92456,14,0,182
ID_012,2020-03-01,2,15,13371,5,0,46
ID_012,2020-03-02,4,19,21126,5,0,67
ID_012,2020-03-04,6,30,36819,5,0,104
ID_012,2020-03-06,9,34,47962,6,0,133
ID_012,2020-03-07,11,38,59568,6,0,156
ID_012,2020-03-10,13,38,63280,6,0,163
ID_012,2020-03-13,14,48,69248,6,0,186
ID_012,2020-03-16,15,52,74483,6,0,203
ID_012,2020-03-23,17,52,74485,6,0,203
ID_012,2020-03-30,18,54,80344,6,0,217
ID_012,2020-04-02,19,55,84069,6,0,225
ID_012,2020-04-15,21,61,91336,8,0,247
ID_012,2020-04-16,22,71,99789,10,0,269
ID_012,2020-04-20,24,71,111049,11,0,286
ID_012,2020-04-21,25,71,111049,11,0,286
ID_012,2020-05-05,26,71,111224,11,0,286
ID_013,2020-03-02,1,0,17,0,0,0
ID_013,2020-03-04,3,21,5151,0,0,32
ID_013,2020-03-05,4,21,5387,0,0,32
ID_013,2020-03-06,5,26,13647,0,0,52
ID_013,2020-03-07,6,36,15149,0,0,75
ID_013,2020-03-09,8,40,26850,0,0,103
ID_013,2020-03-10,9,40,30520,0,0,111
ID_013,2020-03-11,10,40,30714,0,0,111
ID_013,2020-03-12,12,73,45948,5,0,197
ID_013,2020-03-15,13,76,50728,5,0,216
ID_013,2020-03-16,14,82,56644,5,0,240
ID_013,2020-03-17,15,82,56815,5,0,240
ID_013,2020-03-18,16,82,56816,5,0,240
ID_013,2020-03-19,19,85,62054,5,0,264
ID_013,2020-04-02,20,85,65441,5,0,271
ID_013,2020-04-05,21,87,70428,5,0,285
ID_013,2020-04-08,22,89,76214,6,0,301
ID_013,2020-04-13,23,90,80772,8,0,312
ID_013,2020-04-27,24,95,87922,8,0,334
ID_013,2020-05-06,27,97,110475,13,3,400
ID_013,2020-08-08,28,98,115813,13,3,418
ID_031,2020-10-21,1,2,6334,1,2,10
ID_031,2020-10-22,4,6,24266,1,5,52
ID_031,2020-10-23,5,16,31458,1,13,73
ID_031,2020-10-24,6,20,41075,1,31,93
ID_031,2020-10-26,7,22,49884,1,47,109
ID_031,2020-10-29,8,22,49891,1,47,109
ID_031,2020-11-03,9,22,57938,1,47,119
ID_031,2020-11-04,10,22,57939,1,47,119
ID_031,2020-11-06,13,26,96740,3,73,174
ID_031,2020-11-07,18,33,117769,3,85,226
ID_031,2020-11-16,19,34,125054,3,87,239
ID_031,2020-11-18,20,35,135549,3,109,265
ID_014,2020-03-29,4,1,13618,5,2,31
ID_014,2020-03-31,11,1,13631,5,2,31
ID_014,2020-04-01,43,14,29777,5,2,90
ID_014,2020-04-02,49,17,46655,5,2,139
ID_014,2020-04-03,61,23,64305,6,4,184
ID_014,2020-04-04,63,31,78898,7,4,242
ID_014,2020-04-05,64,32,84118,7,4,263
ID_014,2020-04-06,65,32,84256,7,4,264
ID_014,2020-04-08,67,33,92485,7,12,283
ID_014,2020-04-09,68,33,97914,7,16,295
ID_014,2020-04-10,76,41,122001,7,16,386
ID_014,2020-04-11,88,46,142542,7,16,480
ID_014,2020-04-12,91,46,153281,7,16,520
ID_014,2020-04-13,93,52,159473,7,16,572
ID_014,2020-04-14,103,98,185468,27,20,727
ID_014,2020-04-15,106,104,197038,27,20,774
ID_014,2020-04-16,108,104,203312,27,20,795
ID_014,2020-04-17,112,104,208864,27,20,808
ID_014,2020-04-18,116,111,222268,27,20,862
ID_014,2020-04-19,117,120,229166,27,20,885
ID_014,2020-04-20,121,158,241607,28,20,973
ID_014,2020-04-21,131,213,265213,31,21,1129
ID_014,2020-04-22,134,234,277496,52,21,1251
ID_014,2020-04-23,140,245,289227,52,21,1298
ID_014,2020-04-24,145,250,305973,52,21,1366
ID_014,2020-04-25,152,261,317242,52,21,1409
ID_014,2020-04-26,156,269,329057,52,21,1457
ID_014,2020-04-27,160,272,336708,52,21,1480
ID_014,2020-04-28,161,272,341250,52,21,1501
ID_014,2020-04-29,163,273,353125,52,21,1557
ID_014,2020-04-30,165,275,357693,52,21,1577
ID_014,2020-05-02,166,276,360656,52,21,1594
ID_014,2020-05-04,167,276,366172,57,21,1613
ID_014,2020-05-05,170,277,377448,61,21,1680
ID_014,2020-05-06,176,277,378494,61,21,1680
ID_014,2020-05-07,185,284,406146,75,21,1788
ID_014,2020-05-08,186,284,410560,75,21,1804
ID_014,2020-05-09,192,285,438379,75,21,1878
ID_014,2020-05-10,203,292,496857,80,21,1984
ID_014,2020-05-11,204,293,506593,80,21,2000
ID_014,2020-05-13,205,293,506611,80,21,2001
ID_014,2020-05-20,206,293,506612,80,21,2001
ID_014,2021-03-09,207,298,513562,85,23,2014
ID_014,2021-03-10,208,301,521471,94,28,2030
ID_015,2020-04-03,1,0,1,0,0,0
ID_015,2020-04-04,2,0,205,0,0,0
ID_015,2020-04-05,3,5,7478,1,0,27
ID_015,2020-04-10,4,10,15530,1,0,47
ID_015,2020-04-25,5,10,15532,1,0,47
ID_015,2020-04-26,6,10,15534,1,0,47
ID_015,2020-05-14,7,30,24115,4,0,81
ID_015,2020-06-29,10,44,46099,29,9,134
ID_015,2020-06-30,11,44,46100,29,9,134
ID_015,2020-09-13,13,48,56650,29,15,175
ID_015,2020-09-14,14,51,62310,29,17,195
ID_016,2020-05-01,1,5,6012,0,0,19
ID_016,2020-05-02,3,10,18303,0,0,52
ID_016,2020-05-06,4,10,18612,0,0,55
ID_016,2020-05-10,6,12,24220,0,0,74
ID_016,2020-05-11,7,12,24221,0,0,74
ID_016,2020-05-12,8,13,30903,3,0,89
ID_016,2020-05-14,9,13,30908,3,0,90
ID_016,2020-05-29,11,14,39100,6,14,105
ID_016,2020-06-02,12,14,40460,6,14,114
ID_016,2020-06-11,14,14,41270,6,14,118
ID_016,2020-06-12,15,15,41995,6,14,122
ID_016,2020-06-15,18,15,42382,6,14,124
ID_016,2020-06-16,19,15,42741,6,14,126
ID_016,2020-06-17,20,15,42965,6,14,127
ID_016,2020-06-18,21,15,43270,6,14,131
ID_016,2020-06-19,22,15,43828,6,14,135
ID_016,2020-06-22,23,15,43992,6,14,137
ID_016,2020-06-23,24,15,44140,6,14,138
ID_016,2020-06-24,25,15,44392,6,14,141
ID_016,2020-06-25,26,15,47974,8,15,148
ID_016,2020-08-14,29,15,59963,10,55,187
ID_017,2020-05-12,3,8,58,0,0,3
ID_017,2020-05-18,4,14,7932,4,10,26
ID_017,2020-05-28,6,41,21549,15,10,97
ID_017,2020-05-31,8,41,21552,15,10,97
ID_017,2020-06-01,9,101,28939,20,10,140
ID_017,2020-06-04,10,104,30944,20,10,151
ID_017,2020-06-11,17,104,31639,20,10,155
ID_017,2020-06-12,18,104,32294,20,10,159
ID_017,2020-06-15,19,104,32911,20,10,162
ID_017,2020-06-16,20,104,33482,20,10,166
ID_017,2020-06-17,21,104,33818,20,10,169
ID_017,2020-06-18,22,104,34072,20,10,172
ID_017,2020-06-19,23,104,34543,20,10,177
ID_017,2020-06-21,24,104,34549,20,10,177
ID_017,2020-06-22,25,104,34758,20,10,178
ID_017,2020-06-23,26,104,34890,20,10,179
ID_017,2020-06-24,27,104,35127,20,10,182
ID_017,2020-06-25,28,104,35393,20,10,185
