ID,일자,참가자 수
ID_000,2018-08-31,1
ID_001,2018-11-14,1
ID_001,2018-12-01,1
ID_002,2019-02-11,2
ID_002,2019-02-18,1
ID_002,2019-03-25,3
ID_002,2019-03-26,3
ID_002,2019-03-27,13
ID_002,2019-03-28,5
ID_002,2019-03-29,4
ID_002,2019-03-30,32
ID_002,2019-03-31,32
ID_002,2019-04-01,1
ID_002,2019-07-11,1
ID_003,2019-07-11,1
ID_003,2019-07-14,3
ID_003,2019-07-16,2
ID_003,2019-07-17,1
ID_003,2019-07-18,1
ID_003,2019-07-19,1
ID_003,2019-07-20,2
ID_003,2019-07-26,1
ID_003,2019-07-27,3
ID_003,2019-07-28,1
ID_003,2019-07-29,1
ID_003,2019-07-30,2
ID_003,2019-08-01,1
ID_003,2019-08-03,2
ID_003,2019-08-04,5
ID_003,2019-08-05,2
ID_003,2019-08-06,2
ID_003,2019-08-08,1
ID_003,2019-08-09,1
ID_003,2019-08-10,2
ID_003,2019-08-11,1
ID_003,2019-08-12,25
ID_003,2019-08-13,3
ID_003,2019-08-14,3
ID_003,2019-08-15,1
ID_003,2019-08-17,3
ID_003,2019-08-19,1
ID_003,2019-08-20,1
ID_003,2019-08-22,4
ID_003,2019-08-23,3
ID_003,2019-08-24,1
ID_003,2019-08-27,1
ID_003,2019-08-29,1
ID_003,2019-08-30,4
ID_003,2019-10-11,1
ID_004,2019-10-01,5
ID_004,2019-10-02,5
ID_004,2019-10-03,1
ID_004,2019-10-04,5
ID_004,2019-10-05,4
ID_004,2019-10-06,4
ID_004,2019-10-07,3
ID_004,2019-10-08,9
ID_004,2019-10-09,5
ID_004,2019-10-10,5
ID_004,2019-10-11,5
ID_004,2019-10-12,1
ID_004,2019-10-13,3
ID_004,2019-10-14,6
ID_004,2019-10-15,5
ID_004,2019-10-16,5
ID_004,2019-10-17,2
ID_004,2019-10-18,2
ID_004,2019-10-19,2
ID_004,2019-10-20,5
ID_004,2019-10-21,5
ID_004,2019-10-22,5
ID_004,2019-10-23,3
ID_004,2019-10-24,2
ID_004,2019-10-25,4
ID_004,2019-10-26,12
ID_004,2019-10-27,9
ID_005,2019-11-11,17
ID_005,2019-11-12,17
ID_005,2019-11-13,14
ID_005,2019-11-14,15
ID_005,2019-11-15,10
ID_005,2019-11-16,11
ID_005,2019-11-17,8
ID_005,2019-11-18,9
ID_005,2019-11-19,13
ID_005,2019-11-20,16
ID_005,2019-11-21,9
ID_005,2019-11-22,5
ID_005,2019-11-23,8
ID_005,2019-11-24,4
ID_005,2019-11-25,9
ID_005,2019-11-26,8
ID_005,2019-11-27,10
ID_005,2019-11-28,8
ID_005,2019-11-29,6
ID_005,2019-11-30,11
ID_005,2019-12-01,9
ID_005,2019-12-02,10
ID_005,2019-12-03,12
ID_005,2019-12-04,7
ID_005,2019-12-05,10
ID_005,2019-12-06,18
ID_006,2019-11-14,1
ID_006,2019-11-15,2
ID_006,2019-11-16,1
ID_006,2019-11-20,1
ID_006,2019-11-22,1
ID_006,2019-11-23,1
ID_006,2019-11-24,1
ID_006,2019-11-26,2
ID_006,2019-11-27,2
ID_006,2019-12-02,1
ID_006,2019-12-04,3
ID_006,2019-12-05,3
ID_006,2019-12-06,1
ID_008,2019-11-21,5
ID_008,2019-11-22,6
ID_008,2019-11-23,5
ID_008,2019-11-24,5
ID_008,2019-11-25,4
ID_008,2019-11-26,6
ID_008,2019-11-27,4
ID_008,2019-11-28,5
ID_008,2019-11-29,2
ID_008,2019-11-30,1
ID_008,2019-12-01,3
ID_008,2019-12-02,5
ID_008,2019-12-03,4
ID_008,2019-12-04,2
ID_008,2019-12-05,9
ID_008,2019-12-06,4
ID_008,2019-12-07,2
ID_008,2019-12-08,6
ID_008,2019-12-09,6
ID_008,2019-12-10,13
ID_008,2019-12-11,7
ID_008,2019-12-12,6
ID_008,2019-12-13,4
ID_008,2019-12-14,10
ID_008,2019-12-15,1
ID_008,2019-12-16,4
ID_008,2019-12-17,12
ID_008,2019-12-18,6
ID_008,2019-12-19,10
ID_008,2019-12-20,5
ID_008,2019-12-21,7
ID_008,2019-12-22,12
ID_008,2019-12-23,7
ID_008,2019-12-24,10
ID_008,2019-12-25,8
ID_008,2019-12-26,12
ID_008,2019-12-27,6
ID_008,2019-12-28,9
ID_008,2019-12-29,9
ID_008,2019-12-30,11
ID_008,2019-12-31,38
ID_008,2020-01-01,15
ID_008,2020-01-02,50
ID_008,2020-01-03,18
ID_008,2020-01-04,26
ID_008,2020-01-05,20
ID_008,2020-01-06,35
ID_008,2020-01-07,24
ID_008,2020-01-08,21
ID_008,2020-01-09,26
ID_008,2020-01-10,30
ID_008,2020-01-11,11
ID_008,2020-01-12,29
ID_007,2019-11-20,1
ID_007,2019-11-25,2
ID_007,2019-11-26,1
ID_007,2019-11-30,1
ID_007,2019-12-13,3
ID_007,2019-12-14,1
ID_007,2019-12-16,1
ID_007,2019-12-19,1
ID_007,2019-12-26,1
ID_007,2019-12-29,1
ID_007,2019-12-30,2
ID_007,2019-12-31,16
ID_007,2020-01-01,13
ID_007,2020-01-02,21
ID_007,2020-01-03,17
ID_007,2020-01-04,12
ID_007,2020-01-05,10
ID_007,2020-01-06,22
ID_007,2020-01-07,22
ID_007,2020-01-08,14
ID_007,2020-01-09,13
ID_007,2020-01-10,18
ID_007,2020-01-11,7
ID_007,2020-01-12,13
ID_007,2020-01-13,12
ID_007,2020-01-14,19
ID_007,2020-01-15,16
ID_007,2020-01-16,13
ID_007,2020-01-17,13
ID_007,2020-01-18,9
ID_007,2020-01-19,13
ID_007,2020-01-20,24
ID_007,2020-01-21,1
ID_007,2020-02-04,2
ID_007,2020-02-05,2
ID_007,2020-02-11,1
ID_007,2020-02-17,1
ID_007,2020-02-28,1
ID_007,2020-03-04,1
ID_007,2020-03-10,1
ID_007,2020-03-15,1
ID_007,2020-03-20,1
ID_010,2020-01-16,119
ID_010,2020-01-17,57
ID_010,2020-01-18,25
ID_010,2020-01-19,17
ID_010,2020-01-20,35
ID_010,2020-01-21,30
ID_010,2020-01-22,27
ID_010,2020-01-23,22
ID_010,2020-01-24,5
ID_010,2020-01-25,11
ID_010,2020-01-26,7
ID_010,2020-01-27,11
ID_010,2020-01-28,14
ID_010,2020-01-29,8
ID_010,2020-01-30,16
ID_010,2020-01-31,15
ID_010,2020-02-01,9
ID_010,2020-02-02,8
ID_010,2020-02-03,17
ID_010,2020-02-04,8
ID_010,2020-02-05,4
ID_010,2020-02-06,7
ID_010,2020-02-07,8
ID_010,2020-02-08,4
ID_010,2020-02-09,4
ID_010,2020-02-10,8
ID_010,2020-02-11,9
ID_010,2020-02-12,9
ID_009,2020-01-02,51
ID_009,2020-01-03,43
ID_009,2020-01-04,23
ID_009,2020-01-05,20
ID_009,2020-01-06,55
ID_009,2020-01-07,27
ID_009,2020-01-08,20
ID_009,2020-01-09,17
ID_009,2020-01-10,25
ID_009,2020-01-11,6
ID_009,2020-01-12,25
ID_009,2020-01-13,28
ID_009,2020-01-14,39
ID_009,2020-01-15,20
ID_009,2020-01-16,24
ID_009,2020-01-17,22
ID_009,2020-01-18,9
ID_009,2020-01-19,9
ID_009,2020-01-20,16
ID_009,2020-01-21,18
ID_009,2020-01-22,11
ID_009,2020-01-23,7
ID_009,2020-01-24,5
ID_009,2020-01-25,2
ID_009,2020-01-26,4
ID_009,2020-01-27,8
ID_009,2020-01-28,13
ID_009,2020-01-29,4
ID_009,2020-01-30,6
ID_009,2020-01-31,10
ID_009,2020-02-01,1
ID_009,2020-02-02,7
ID_011,2020-02-01,40
ID_011,2020-02-02,25
ID_011,2020-02-03,41
ID_011,2020-02-04,30
ID_011,2020-02-05,33
ID_011,2020-02-06,25
ID_011,2020-02-07,25
ID_011,2020-02-08,11
ID_011,2020-02-09,20
ID_011,2020-02-10,25
ID_011,2020-02-11,27
ID_011,2020-02-12,51
ID_011,2020-02-13,38
ID_011,2020-02-14,19
ID_011,2020-02-15,14
ID_011,2020-02-16,14
ID_011,2020-02-17,21
ID_011,2020-02-18,23
ID_011,2020-02-19,20
ID_011,2020-02-20,7
ID_011,2020-02-21,19
