ID,일자,토크 수,댓글 수,조회 수,공유 수,좋아요 수
ID_000,2018-08-16,1,1,2324,0,5
ID_000,2018-08-17,2,2,4729,0,9
ID_000,2018-08-21,5,5,9475,0,14
ID_000,2018-08-25,6,6,11862,0,18
ID_000,2018-08-27,11,11,22621,0,34
ID_000,2018-08-30,12,12,25288,0,39
ID_000,2018-08-31,13,13,25288,0,39
ID_000,2018-09-01,14,14,25288,0,39
ID_000,2018-09-02,15,15,28132,0,43
ID_000,2018-09-03,16,16,30797,0,46
ID_000,2018-09-05,17,17,30797,0,46
ID_000,2018-09-06,18,18,33461,0,51
ID_000,2018-09-09,19,19,33461,0,51
ID_000,2018-09-10,22,22,36203,0,56
ID_000,2018-09-11,24,24,41493,0,61
ID_000,2018-09-12,27,27,52238,0,74
ID_000,2018-09-13,29,29,59616,0,82
ID_000,2018-09-14,34,34,77344,0,103
ID_000,2020-02-02,35,34,80993,0,106
ID_000,2020-02-08,36,34,80997,0,106
ID_001,2018-10-17,1,1,3084,0,5
ID_001,2018-10-21,3,3,9264,0,12
ID_001,2018-11-05,4,4,12677,0,17
ID_001,2018-12-22,5,5,15870,0,22
ID_001,2020-02-24,9,5,28694,0,38
ID_001,2020-03-31,10,5,31180,0,42
ID_002,2019-02-10,2,2,4856,0,10
ID_002,2019-02-11,4,4,9884,0,16
ID_002,2019-02-12,5,5,12601,0,21
ID_002,2019-02-13,9,9,23319,0,37
ID_002,2019-02-15,10,10,26046,0,41
ID_002,2019-02-16,11,11,28834,0,45
ID_002,2019-02-18,12,12,32225,0,49
ID_002,2019-02-19,13,13,35058,0,53
ID_002,2019-02-20,14,14,37798,0,57
ID_002,2019-03-05,16,16,44048,1,61
ID_002,2019-03-07,18,18,50216,2,69
ID_002,2019-03-09,19,19,53226,2,69
ID_002,2019-03-10,21,21,59861,2,75
ID_002,2019-03-14,23,23,65747,2,78
ID_002,2019-03-16,25,25,68739,2,82
ID_002,2019-03-17,26,26,71750,2,85
ID_002,2019-03-19,27,27,74586,2,88
ID_002,2019-03-26,28,28,74586,2,88
ID_002,2019-03-27,30,30,80636,2,94
ID_002,2019-03-28,32,32,86925,2,101
ID_002,2019-03-30,35,35,98066,2,113
ID_002,2019-03-31,36,36,101850,2,117
ID_002,2019-04-05,37,37,106834,2,121
ID_002,2019-04-08,40,40,118926,3,133
ID_002,2020-02-02,42,40,125859,3,139
ID_002,2020-03-31,43,40,129094,3,142
ID_002,2020-11-26,44,40,129130,3,142
ID_002,2021-06-11,45,41,130439,3,143
ID_002,2021-10-01,46,42,131253,3,144
ID_002,2022-11-29,47,46,131975,4,150
ID_003,2019-07-11,3,3,8628,0,12
ID_003,2019-07-12,4,4,11020,0,13
ID_003,2019-07-14,6,6,16531,0,21
ID_003,2019-07-17,8,8,21851,0,27
ID_003,2019-07-24,9,9,22548,0,30
ID_003,2019-07-27,10,10,25460,0,34
ID_003,2019-07-28,11,11,28553,0,39
ID_003,2019-07-31,12,12,31395,0,43
ID_003,2019-08-02,13,13,34332,0,47
ID_003,2019-08-06,14,14,37373,0,52
ID_003,2019-08-07,15,15,37373,0,52
ID_003,2019-08-16,16,16,40471,0,56
ID_003,2019-08-29,17,18,42878,0,57
ID_003,2019-08-30,18,19,45196,0,58
ID_003,2019-08-31,19,20,47392,0,59
ID_003,2019-09-02,21,22,51553,0,64
ID_003,2019-09-05,22,23,51554,0,64
ID_003,2019-09-12,23,24,54670,0,69
ID_003,2019-09-24,24,25,57748,0,73
ID_003,2019-10-16,25,26,61142,0,77
ID_003,2019-10-24,26,27,64981,0,82
ID_003,2019-11-04,27,28,68583,0,86
ID_003,2019-11-05,28,29,72038,0,90
ID_003,2019-12-23,30,29,79609,0,98
ID_003,2020-01-02,31,30,79610,0,98
ID_003,2020-01-08,33,31,83622,0,102
ID_003,2020-02-04,36,31,95695,9,115
ID_003,2020-02-07,37,31,99467,9,117
ID_003,2020-03-31,38,31,102561,9,119
ID_003,2020-08-18,39,31,102617,9,119
ID_003,2021-05-06,40,31,104192,9,119
ID_004,2019-09-27,1,1,909,0,0
ID_004,2019-09-30,2,4,4317,0,10
ID_004,2019-10-01,6,8,14754,0,27
ID_004,2019-10-02,9,11,20173,0,36
ID_004,2019-10-03,10,12,22849,0,41
ID_004,2019-10-07,11,13,25795,0,45
ID_004,2019-10-08,13,15,30203,0,50
ID_004,2019-10-09,16,18,33507,0,54
ID_004,2019-10-10,17,19,36239,0,58
ID_004,2019-10-11,20,22,45236,0,70
ID_004,2019-10-15,21,23,48087,0,74
ID_004,2019-10-17,23,25,51208,0,79
ID_004,2019-10-18,27,29,63151,0,95
ID_004,2019-10-19,28,30,66323,0,99
ID_004,2019-10-21,29,31,69620,0,103
ID_004,2019-10-22,30,32,73094,0,108
ID_004,2019-10-23,31,33,76654,0,112
